,title,link,salary,location,company,classification,summary
21,Embedded Linux Software Engineer,/job/52953817?type=standout#searchRequestToken=198133bb-24d2-4cc6-9c2c-769786e5113d,"$130,000 + Super + Benefits",Sydney,The Onset,Information & Communication Technology,
22,Senior Software Engineer - Backend,/job/52700332?type=promoted#searchRequestToken=452ebd27-164e-4559-9881-6a1dbe24eeb5,Base + Super + Profit Share,Sydney,SEEK Limited,Information & Communication Technology,
23,Platform Engineer (Azure),/job/52625356?type=promoted#searchRequestToken=452ebd27-164e-4559-9881-6a1dbe24eeb5,NA,Sydney,ipSCAPE,Information & Communication Technology,
24,Software Developer,/job/52923433?type=standout#searchRequestToken=452ebd27-164e-4559-9881-6a1dbe24eeb5,NA,"Newcastle, Maitland & Hunter",Forsythes Recruitment,Information & Communication Technology,
25,Junior Software Engineer,/job/52812212?type=standout#searchRequestToken=452ebd27-164e-4559-9881-6a1dbe24eeb5,NA,Sydney,Lendi,Information & Communication Technology,
26,Java Software Engineer,/job/52954341?type=standard#searchRequestToken=452ebd27-164e-4559-9881-6a1dbe24eeb5,NA,Sydney,Randstad Technologies,Information & Communication Technology,
27,Software Engineer (C++) High Perf. Low Latency Trading Systems - Aus PR + Reloc.,/job/52906094?type=standout#searchRequestToken=452ebd27-164e-4559-9881-6a1dbe24eeb5,$250k - $400k++,Sydney,Westbury Partners,Information & Communication Technology,
28,Software Engineer,/job/52888559?type=standout#searchRequestToken=452ebd27-164e-4559-9881-6a1dbe24eeb5,Competitive salary being offered,Sydney,Thales Australia & New Zealand,Information & Communication Technology,
29,SENIOR SOFTWARE ENGINEER,/job/52969167?type=standard#searchRequestToken=452ebd27-164e-4559-9881-6a1dbe24eeb5,$126158 - $141373 p.a.,Sydney,City of Sydney,Information & Communication Technology,
30,Software Engineer - Java/ Golang,/job/52950365?type=standard#searchRequestToken=452ebd27-164e-4559-9881-6a1dbe24eeb5,Permanent role paying up to $120k/ $130 base + Bon,Sydney,Preacta Recruitment,Information & Communication Technology,
31,Software Engineer (Full Stack - Java) - Healthcare Data Analytics - CBD Location,/job/52938989?type=standout#searchRequestToken=452ebd27-164e-4559-9881-6a1dbe24eeb5,NA,Sydney,Prospection,Information & Communication Technology,
32,Software Engineer - Mid level,/job/52936075?type=standout#searchRequestToken=452ebd27-164e-4559-9881-6a1dbe24eeb5,NA,Sydney,Temple & Webster Group,Information & Communication Technology,
33,Software Engineer,/job/52950097?type=standout#searchRequestToken=452ebd27-164e-4559-9881-6a1dbe24eeb5,NA,Sydney,Paxus,Information & Communication Technology,
34,SENIOR SOFTWARE ENGINEER,/job/52969168?type=standard#searchRequestToken=452ebd27-164e-4559-9881-6a1dbe24eeb5,$126158 - $141373 p.a.,Sydney,City of Sydney,Government & Defence,
35,Software Engineer,/job/52875962?type=standard#searchRequestToken=452ebd27-164e-4559-9881-6a1dbe24eeb5,"$85,000 - $89,999",Sydney,TNA Solutions Pty Ltd,Information & Communication Technology,
36,Software Engineer,/job/52889316?type=standout#searchRequestToken=452ebd27-164e-4559-9881-6a1dbe24eeb5,Competitive salary for the right experience,Sydney,Thales Australia & New Zealand,Information & Communication Technology,
37,Software Developer,/job/52936704?type=standard#searchRequestToken=452ebd27-164e-4559-9881-6a1dbe24eeb5,NA,Sydney,Hays Technology,Information & Communication Technology,
38,"Java Software Engineer, Market Making, Low Latency, High Frequency Trading",/job/52906091?type=standout#searchRequestToken=452ebd27-164e-4559-9881-6a1dbe24eeb5,$150k - $250k++,Sydney,Westbury Partners,Information & Communication Technology,
39,Junior/Graduate Software Testing Engineer,/job/52860231?type=standard#searchRequestToken=452ebd27-164e-4559-9881-6a1dbe24eeb5,NA,Sydney,LT GAME Australia Pty Limited,Information & Communication Technology,
40,Software Engineer,/job/52901363?type=standout#searchRequestToken=452ebd27-164e-4559-9881-6a1dbe24eeb5,117000,Sydney,IRESS Limited,Information & Communication Technology,
41,Software Engineer,/job/52789698?type=standard#searchRequestToken=452ebd27-164e-4559-9881-6a1dbe24eeb5,"$75,000 - $84,999",Sydney,Excelan Pty Ltd,Information & Communication Technology,
42,Front-End Software Engineer,/job/52909160?type=standout#searchRequestToken=452ebd27-164e-4559-9881-6a1dbe24eeb5,NA,Sydney,Buildings Alive,Information & Communication Technology,
43,Senior Software Engineer,/job/52959485?type=standard#searchRequestToken=452ebd27-164e-4559-9881-6a1dbe24eeb5,"$160,000+Super",Sydney,S2M,Information & Communication Technology,
44,Software Engineer - Salesforce,/job/52696076?type=promoted#searchRequestToken=ef715c38-256c-4f77-9727-e74860b6adf4,NA,Sydney,Equifax Australia & New Zealand,Information & Communication Technology,
45,Software Developer (Jora),/job/52803104?type=promoted#searchRequestToken=ef715c38-256c-4f77-9727-e74860b6adf4,Base + Super + Profit Share,Sydney,SEEK Limited,Information & Communication Technology,
46,"Software Engineer | Java, AWS",/job/52928345?type=standout#searchRequestToken=ef715c38-256c-4f77-9727-e74860b6adf4,NA,Sydney,ResMed,Information & Communication Technology,
47,Backend Software Engineer,/job/52926106?type=standout#searchRequestToken=ef715c38-256c-4f77-9727-e74860b6adf4,NA,Sydney,Nine,Information & Communication Technology,
48,Java Software Engineer,/job/52959527?type=standard#searchRequestToken=ef715c38-256c-4f77-9727-e74860b6adf4,$800 - $950 per day,Sydney,Opus Recruitment Solutions,Information & Communication Technology,
49,Software Engineer - Scala,/job/52986304?type=standout#searchRequestToken=ef715c38-256c-4f77-9727-e74860b6adf4,Attractive base salary,Sydney,Rural Press Pty Ltd,Information & Communication Technology,
50,Full Stack Software Engineer,/job/52826606?type=standout#searchRequestToken=ef715c38-256c-4f77-9727-e74860b6adf4,"$130,000 - $159,999",Sydney,Outcomex Pty Ltd,Information & Communication Technology,
51,Software Engineer,/job/52834984?type=standard#searchRequestToken=ef715c38-256c-4f77-9727-e74860b6adf4,"$120,000 - $189,999",Sydney,Datum Consulting Group Australia Pvt Ltd,Information & Communication Technology,
52,Python Software Developer (Remote Option),/job/52948404?type=standard#searchRequestToken=ef715c38-256c-4f77-9727-e74860b6adf4,NA,Sydney,MEQ Probe,Information & Communication Technology,
53,Software Engineer x 2,/job/52901144?type=standout#searchRequestToken=ef715c38-256c-4f77-9727-e74860b6adf4,NA,Sydney,ACI Worldwide (Pacific) Pty Ltd,Information & Communication Technology,
54,Principal (Lead) Software Engineer,/job/52911299?type=standard#searchRequestToken=ef715c38-256c-4f77-9727-e74860b6adf4,"$180,000 - $200,000 + superannuation",Sydney,u&u. Recruitment Partners,Information & Communication Technology,
55,Software Developer,/job/52918542?type=standout#searchRequestToken=ef715c38-256c-4f77-9727-e74860b6adf4,Annual Salary,Sydney,Aware Super,Information & Communication Technology,
56,Junior Developer,/job/52833502?type=standard#searchRequestToken=ef715c38-256c-4f77-9727-e74860b6adf4,NA,Sydney,ITSM,Information & Communication Technology,
57,Full Stack Developer,/job/52917556?type=standout#searchRequestToken=ef715c38-256c-4f77-9727-e74860b6adf4,NA,Sydney,AlayaCare,Information & Communication Technology,
58,Software Engineer,/job/52812735?type=standout#searchRequestToken=ef715c38-256c-4f77-9727-e74860b6adf4,NA,"Wollongong, Illawarra & South Coast",Objective Corporation,Information & Communication Technology,
59,Software Developer,/job/52887749?type=standard#searchRequestToken=ef715c38-256c-4f77-9727-e74860b6adf4,NA,Sydney,Lifebyte Systems Pty Ltd,Information & Communication Technology,
60,Application/ Software Support Engineer,/job/52934432?type=standard#searchRequestToken=ef715c38-256c-4f77-9727-e74860b6adf4,NA,Sydney,Dematic Pty Ltd,Information & Communication Technology,
61,Lead Backend Software Engineer,/job/52959025?type=standout#searchRequestToken=ef715c38-256c-4f77-9727-e74860b6adf4,up to $190k package,Sydney,Lookahead,Information & Communication Technology,
62,Junior to Mid-Level Software Engineer,/job/52732344?type=standout#searchRequestToken=ef715c38-256c-4f77-9727-e74860b6adf4,NA,"Wollongong, Illawarra & South Coast",HR with Ease,Information & Communication Technology,
63,"""Software Developer- API """,/job/52969918?type=standard#searchRequestToken=ef715c38-256c-4f77-9727-e74860b6adf4,NA,Sydney,2XM Technology Pty Ltd,Information & Communication Technology,
64,Junior Software Developer,/job/52916621?type=standout#searchRequestToken=ef715c38-256c-4f77-9727-e74860b6adf4,NA,Sydney,Drive On Finance,Information & Communication Technology,
65,Full Stack Developer,/job/52946845?type=standout#searchRequestToken=ef715c38-256c-4f77-9727-e74860b6adf4,"Starting from $120,000 plus super",Sydney,NA,Information & Communication Technology,
66,Application Support Engineer,/job/52686021?type=promoted#searchRequestToken=d1c9fe92-5d06-42fe-89b7-331fd485ac8c,"$80,000 - $109,999",Sydney,"accesso Technology Group, plc",Information & Communication Technology,
67,Senior Software Developer .NET/.NET Core,/job/52748104?type=promoted#searchRequestToken=d1c9fe92-5d06-42fe-89b7-331fd485ac8c,NA,Sydney,NA,Information & Communication Technology,
68,Junior Quantitative Developer,/job/52820076?type=standout#searchRequestToken=d1c9fe92-5d06-42fe-89b7-331fd485ac8c,"Base $60,000 - $79,999 + Annual lucrative BONUS",Sydney,Alpha Point Capital,Information & Communication Technology,
69,Embedded Software Engineer,/job/52908097?type=standout#searchRequestToken=d1c9fe92-5d06-42fe-89b7-331fd485ac8c,NA,Sydney,The Response Centre,Information & Communication Technology,
70,Software Engineer,/job/52802659?type=standout#searchRequestToken=d1c9fe92-5d06-42fe-89b7-331fd485ac8c,NA,Sydney,Freelancer.com,Information & Communication Technology,
71,Software Developer (Automation) - 12 months FTC,/job/52957107?type=standard#searchRequestToken=d1c9fe92-5d06-42fe-89b7-331fd485ac8c,NA,Sydney,PwC,Information & Communication Technology,
72,Software Engineer Manager,/job/52962507?type=standard#searchRequestToken=d1c9fe92-5d06-42fe-89b7-331fd485ac8c,NA,Sydney,PlayAGS Australia,Information & Communication Technology,
73,Python / C++ Software Engineer - GUI Realtime Risk Analytics - Trading Systems,/job/52906111?type=standout#searchRequestToken=d1c9fe92-5d06-42fe-89b7-331fd485ac8c,$150k - $250k+ pkg.,Sydney,Westbury Partners,Information & Communication Technology,
74,Software Developer,/job/52876340?type=standard#searchRequestToken=d1c9fe92-5d06-42fe-89b7-331fd485ac8c,NA,Sydney,IrwinSolutions,Information & Communication Technology,
75,Senior Software Engineer,/job/52959266?type=standard#searchRequestToken=d1c9fe92-5d06-42fe-89b7-331fd485ac8c,NA,Sydney,NA,Information & Communication Technology,
76,Senior Front-End Software Engineer,/job/52983768?type=standout#searchRequestToken=d1c9fe92-5d06-42fe-89b7-331fd485ac8c,NA,Sydney,DOLBY AUSTRALIA PTY LIMITED,Information & Communication Technology,
77,Senior Software Engineer - Java / AWS,/job/52996084?type=standard#searchRequestToken=d1c9fe92-5d06-42fe-89b7-331fd485ac8c,$160000 - $180000 per annum,Sydney,Opus Recruitment Solutions,Information & Communication Technology,
78,C/C++/Java Developer | Navy Simulation/Training Software,/job/52955527?type=standout#searchRequestToken=d1c9fe92-5d06-42fe-89b7-331fd485ac8c,NA,Sydney,Peoplebank Australia NSW,Information & Communication Technology,
79,Senior Software Engineer - Consulting,/job/52647140?type=standout#searchRequestToken=d1c9fe92-5d06-42fe-89b7-331fd485ac8c,"$130,000 - $165,000 p/a",Sydney,DIUS Computing Pty Ltd,Information & Communication Technology,
80,Back End Developer (C# .Net),/job/52913276?type=standard#searchRequestToken=d1c9fe92-5d06-42fe-89b7-331fd485ac8c,NA,Sydney,Betchoice Corporation,Information & Communication Technology,
81,Software Engineer,/job/52831517?type=standard#searchRequestToken=d1c9fe92-5d06-42fe-89b7-331fd485ac8c,NA,Sydney,Hays Technology,Information & Communication Technology,
82,Senior Software Engineer | C#,/job/52970385?type=standout#searchRequestToken=d1c9fe92-5d06-42fe-89b7-331fd485ac8c,NA,Sydney,Appliances Online,Information & Communication Technology,
83,Senior Software Engineer - Java,/job/52995709?type=standard#searchRequestToken=d1c9fe92-5d06-42fe-89b7-331fd485ac8c,"Daily Rate - $900 to $1,100",Sydney,Preacta Recruitment,Information & Communication Technology,
84,Software Support Engineer,/job/52859294?type=standout#searchRequestToken=d1c9fe92-5d06-42fe-89b7-331fd485ac8c,NA,"Newcastle, Maitland & Hunter",NewyTechPeople,Information & Communication Technology,
85,Product Engineer - Technology (Electronics and Software),/job/52897849?type=standout#searchRequestToken=d1c9fe92-5d06-42fe-89b7-331fd485ac8c,NA,Sydney,CMS Electracom,Information & Communication Technology,
86,Software Engineer,/job/52848939?type=standard#searchRequestToken=d1c9fe92-5d06-42fe-89b7-331fd485ac8c,NA,Sydney,UGL - Transport & Technology,Information & Communication Technology,
87,Software Engineer Needed to Save the World!,/job/52380236?type=standard#searchRequestToken=d1c9fe92-5d06-42fe-89b7-331fd485ac8c,NA,"Newcastle, Maitland & Hunter",Evergen,Information & Communication Technology,
88,Senior Software Engineer - NodeJS,/job/52661007?type=promoted#searchRequestToken=e5713210-cba6-43db-a058-6fe9beda1584,NA,Sydney,Lendi,Information & Communication Technology,
89,Front-End Software Engineer,/job/52909160?type=promoted#searchRequestToken=e5713210-cba6-43db-a058-6fe9beda1584,NA,Sydney,Buildings Alive,Information & Communication Technology,
90,Embedded C Software/Hardware Engineer - IoT Devices,/job/52949854?type=standard#searchRequestToken=e5713210-cba6-43db-a058-6fe9beda1584,"$80,000 - $84,999",Sydney,Vitalcare,Engineering,
91,Software Test Engineer,/job/52978274?type=standard#searchRequestToken=e5713210-cba6-43db-a058-6fe9beda1584,Perm role with great work from home flexibilty,Sydney,Suncorp,Information & Communication Technology,
92,Manufacturing Systems Software Engineer,/job/52872712?type=standout#searchRequestToken=e5713210-cba6-43db-a058-6fe9beda1584,NA,Sydney,Finisar,Engineering,
93,Junior Software Engineer,/job/52752378?type=standout#searchRequestToken=e5713210-cba6-43db-a058-6fe9beda1584,$100000.00 - $110000.00 p.a.,Sydney,SALT SEARCH PTY LTD,Information & Communication Technology,
94,Software Engineer,/job/52851418?type=standard#searchRequestToken=e5713210-cba6-43db-a058-6fe9beda1584,$135k+ super,Sydney,Randstad Technologies,Information & Communication Technology,
95,Senior Front-End Software Engineer,/job/52949077?type=standout#searchRequestToken=e5713210-cba6-43db-a058-6fe9beda1584,NA,Sydney,Qantas Airways Ltd,Information & Communication Technology,
96,Frontend Software Engineer,/job/52901312?type=standout#searchRequestToken=e5713210-cba6-43db-a058-6fe9beda1584,NA,Sydney,Noggin,Information & Communication Technology,
97,Software Engineer (JavaScript),/job/52859936?type=standard#searchRequestToken=e5713210-cba6-43db-a058-6fe9beda1584,NA,Sydney,CompliSpace Pty Ltd,Information & Communication Technology,
98,Research Software Engineer (DevOps Capability),/job/52827936?type=standout#searchRequestToken=e5713210-cba6-43db-a058-6fe9beda1584,NA,Sydney,Intersect Australia Ltd,Information & Communication Technology,
99,Senior Software Engineer,/job/52966796?type=standard#searchRequestToken=e5713210-cba6-43db-a058-6fe9beda1584,NA,Sydney,Talenza,Information & Communication Technology,
100,Software Test Engineer,/job/52887288?type=standout#searchRequestToken=e5713210-cba6-43db-a058-6fe9beda1584,Permanent roles. Benefits. Annual bonus.,"Newcastle, Maitland & Hunter",Boeing Defence Australia,Information & Communication Technology,
101,Software Engineer (Embedded System),/job/52912267?type=standout#searchRequestToken=e5713210-cba6-43db-a058-6fe9beda1584,NA,Sydney,Peoplebank Australia NSW,Information & Communication Technology,
102,Senior Software Engineer,/job/52990664?type=standard#searchRequestToken=e5713210-cba6-43db-a058-6fe9beda1584,Attractive base salary + superannuation,Sydney,u&u. Recruitment Partners,Information & Communication Technology,
103,Fullstack .Net Developer,/job/52930506?type=standard#searchRequestToken=e5713210-cba6-43db-a058-6fe9beda1584,Super,Sydney,FIRESOFT People,Information & Communication Technology,
104,* Senior Software Engineer - J2EE/Micro Services *,/job/52969523?type=standout#searchRequestToken=e5713210-cba6-43db-a058-6fe9beda1584,NA,Sydney,Powerstaff Consulting,Information & Communication Technology,
105,Software Engineer,/job/52718228?type=standard#searchRequestToken=e5713210-cba6-43db-a058-6fe9beda1584,NA,"Wollongong, Illawarra & South Coast",Mercer Administration Services (Australia) Pty Ltd,Information & Communication Technology,
106,Java Software Engineer,/job/52576510?type=standard#searchRequestToken=e5713210-cba6-43db-a058-6fe9beda1584,NA,Sydney,IPG Mediabrands,Information & Communication Technology,
107,"Full Stack Software Engineer (Innovation, Java, Node, React, Angular, AWS)",/job/52813560?type=standard#searchRequestToken=e5713210-cba6-43db-a058-6fe9beda1584,Highly Competitive,Sydney,Anson McCade Ltd,Information & Communication Technology,
108,.NET / C# Software Developer,/job/52990164?type=standard#searchRequestToken=e5713210-cba6-43db-a058-6fe9beda1584,Attractive base salary + superannuation,Sydney,u&u. Recruitment Partners,Information & Communication Technology,
109,"C++ Software Engineer - Linux, C++ 17",/job/52874368?type=standard#searchRequestToken=e5713210-cba6-43db-a058-6fe9beda1584,+ Superannuation,Sydney,Robert Walters,Information & Communication Technology,
110,Embedded Software Engineer,/job/52787988?type=promoted#searchRequestToken=a5a0a699-ff28-487f-ba35-5609b98b21c2,$70k - $90k + Super,Sydney,Circuitlink,Information & Communication Technology,
111,Product Engineer - Technology (Electronics and Software),/job/52897849?type=promoted#searchRequestToken=a5a0a699-ff28-487f-ba35-5609b98b21c2,NA,Sydney,CMS Electracom,Information & Communication Technology,
112,Senior Software Engineer - AI R&D Support,/job/52983573?type=standout#searchRequestToken=a5a0a699-ff28-487f-ba35-5609b98b21c2,NA,Sydney,DOLBY AUSTRALIA PTY LIMITED,Information & Communication Technology,
113,Intermediate Full Stack Software Engineer,/job/52831530?type=standout#searchRequestToken=a5a0a699-ff28-487f-ba35-5609b98b21c2,NA,Sydney,Automic Group,Information & Communication Technology,
114,Software Developer,/job/52884837?type=standard#searchRequestToken=a5a0a699-ff28-487f-ba35-5609b98b21c2,NA,Sydney,2XM Technology Pty Ltd,Information & Communication Technology,
115,Principal Software Engineer,/job/52816036?type=standard#searchRequestToken=a5a0a699-ff28-487f-ba35-5609b98b21c2,"$180,000 - $250,000 + Super + Shares + Benefits",Sydney,Just Digital People,Information & Communication Technology,
116,Software Developer,/job/52875072?type=standard#searchRequestToken=a5a0a699-ff28-487f-ba35-5609b98b21c2,NA,Sydney,2XM Technology Pty Ltd,Information & Communication Technology,
117,Developer,/job/52912940?type=standard#searchRequestToken=a5a0a699-ff28-487f-ba35-5609b98b21c2,NA,Sydney,Better Staff,Information & Communication Technology,
118,Software Support Engineer,/job/52963845?type=standout#searchRequestToken=a5a0a699-ff28-487f-ba35-5609b98b21c2,NA,Sydney,Schneider Electric,Engineering,
119,Software Engineer,/job/52766502?type=standout#searchRequestToken=a5a0a699-ff28-487f-ba35-5609b98b21c2,NA,Sydney,Equifax Australia & New Zealand,Information & Communication Technology,
120,Graduate Software Engineer,/job/52726691?type=standout#searchRequestToken=a5a0a699-ff28-487f-ba35-5609b98b21c2,$60000 - $65000 per annum,"Newcastle, Maitland & Hunter",NewyTechPeople,Information & Communication Technology,
121,Software Developer - C# - Trading,/job/52953966?type=standard#searchRequestToken=a5a0a699-ff28-487f-ba35-5609b98b21c2,NA,Sydney,Aurec,Information & Communication Technology,
122,Golang Developer,/job/52965302?type=standard#searchRequestToken=a5a0a699-ff28-487f-ba35-5609b98b21c2,Competitive,Sydney,Opus Recruitment Solutions,Information & Communication Technology,
123,C++ Developer,/job/52908031?type=standard#searchRequestToken=a5a0a699-ff28-487f-ba35-5609b98b21c2,NA,Sydney,Balance Recruitment,Information & Communication Technology,
124,Graduate Software Engineer - C++,/job/52758053?type=standout#searchRequestToken=a5a0a699-ff28-487f-ba35-5609b98b21c2,NA,Sydney,MNF Group Limited,Information & Communication Technology,
125,Senior Software Engineer,/job/52884841?type=standout#searchRequestToken=a5a0a699-ff28-487f-ba35-5609b98b21c2,Annual Salary,"Wollongong, Illawarra & South Coast",Objective Corporation,Information & Communication Technology,
126,Senior Software/Systems Engineer,/job/52948569?type=standout#searchRequestToken=a5a0a699-ff28-487f-ba35-5609b98b21c2,Competitive remuneration being offered! $$,Sydney,Thales Australia & New Zealand,Information & Communication Technology,
127,Software Engineer Save Sight Registries,/job/52838586?type=standout#searchRequestToken=a5a0a699-ff28-487f-ba35-5609b98b21c2,NA,Sydney,The University of Sydney,Information & Communication Technology,
128,Software Engineer - Java/ Kotlin,/job/52838099?type=standard#searchRequestToken=a5a0a699-ff28-487f-ba35-5609b98b21c2,Daily Rate - $750 to $900,Sydney,Preacta Recruitment,Information & Communication Technology,
129,Full Stack Developer,/job/52869015?type=standout#searchRequestToken=a5a0a699-ff28-487f-ba35-5609b98b21c2,$100k - $120k (Experience Dependent),"Newcastle, Maitland & Hunter",Monica Clare Recruitment,Information & Communication Technology,
130,Senior Java Software Engineer,/job/52955308?type=standout#searchRequestToken=a5a0a699-ff28-487f-ba35-5609b98b21c2,$130k - $200k depending on experience + bonus,Sydney,Identify Talent,Information & Communication Technology,
131,Junior (Graduate) Back-End Developer,/job/52775225?type=standout#searchRequestToken=a5a0a699-ff28-487f-ba35-5609b98b21c2,NA,Sydney,Lynxx,Information & Communication Technology,
132,Senior Java Engineer,/job/52972503?type=promoted#searchRequestToken=52f7e7b2-7d09-4bc5-9a55-01346abe192f,"$150,000 - $169,999",Sydney,The Program Practice,Information & Communication Technology,
133,Software Tech Lead (C/C++),/job/52807629?type=promoted#searchRequestToken=52f7e7b2-7d09-4bc5-9a55-01346abe192f,NA,Sydney,EFFISION Australia,Information & Communication Technology,
134,Senior Software Engineer - Bancs,/job/52915655?type=standout#searchRequestToken=52f7e7b2-7d09-4bc5-9a55-01346abe192f,NA,Sydney,ING,Information & Communication Technology,
135,Senior Software Engineer - Java/ Kotlin,/job/52901955?type=standard#searchRequestToken=52f7e7b2-7d09-4bc5-9a55-01346abe192f,Base $140k to $160k + Equity + Bonus +Super,Sydney,Preacta Recruitment,Information & Communication Technology,
136,Software Quality Engineer,/job/52971149?type=standout#searchRequestToken=52f7e7b2-7d09-4bc5-9a55-01346abe192f,NA,Sydney,Aristocrat Technologies Australia Pty Ltd,Information & Communication Technology,
137,Full Stack Developer,/job/52963330?type=standout#searchRequestToken=52f7e7b2-7d09-4bc5-9a55-01346abe192f,NA,Sydney,Inspire Group,Information & Communication Technology,
138,.NET Software Developer,/job/52956675?type=standout#searchRequestToken=52f7e7b2-7d09-4bc5-9a55-01346abe192f,NA,Sydney,Buildsoft Pty Ltd,Information & Communication Technology,
139,Senior Software Engineer - Java,/job/52924733?type=standout#searchRequestToken=52f7e7b2-7d09-4bc5-9a55-01346abe192f,$800 - $1000/day,Sydney,The Onset,Information & Communication Technology,
140,Junior .Net Developer,/job/52995367?type=standout#searchRequestToken=52f7e7b2-7d09-4bc5-9a55-01346abe192f,"$75,000 - $85,000 + super",Sydney,Nutrimetics Australia Pty Ltd,Information & Communication Technology,
141,Lead Robotics / Electrical / Software / Automation / Controls Engineer,/job/52904541?type=standard#searchRequestToken=52f7e7b2-7d09-4bc5-9a55-01346abe192f,NA,Sydney,Fast Automation Pty Ltd,Engineering,
142,Software Engineer,/job/52763939?type=standout#searchRequestToken=52f7e7b2-7d09-4bc5-9a55-01346abe192f,NA,Sydney,Plenti,Information & Communication Technology,
143,Fullstack Developer,/job/52624227?type=standard#searchRequestToken=52f7e7b2-7d09-4bc5-9a55-01346abe192f,"$70,000 - $115,000",Sydney,VisualCortex,Information & Communication Technology,
144,Junior / Graduate Software Developer,/job/52771875?type=standout#searchRequestToken=52f7e7b2-7d09-4bc5-9a55-01346abe192f,NA,Sydney,Trade Window,Information & Communication Technology,
145,Software Engineer,/job/52752038?type=standard#searchRequestToken=52f7e7b2-7d09-4bc5-9a55-01346abe192f,$75000 - $90000,Sydney,DX Solutions Pty Ltd,Information & Communication Technology,
146,Software Developer (Jora),/job/52803104?type=standout#searchRequestToken=52f7e7b2-7d09-4bc5-9a55-01346abe192f,Base + Super + Profit Share,Sydney,SEEK Limited,Information & Communication Technology,
